filename,temperature,liquid_fraction,gas_fraction,density,viscosity,pressure,mean_critical
./mixture_data/acs.jced.7b00517.xml,353.15,0.2179,0.9966,,,2920.0,0.9212
./mixture_data/acs.jced.7b00517.xml,353.15,0.3071,0.9968,,,4240.0,0.9212
./mixture_data/acs.jced.7b00517.xml,353.15,0.4246,0.9963,,,6120.0,0.9212
./mixture_data/acs.jced.7b00517.xml,353.15,0.5573,0.9948,,,8460.0,0.9212
./mixture_data/acs.jced.7b00517.xml,353.15,0.6675,0.9917,,,10580.0,0.9212
./mixture_data/acs.jced.7b00517.xml,353.15,0.7419,0.9873,,,12070.0,0.9212
./mixture_data/acs.jced.7b00517.xml,353.15,0.8179,0.9784,,,13570.0,0.9212
./mixture_data/acs.jced.7b00517.xml,353.15,0.8777,0.9647,,,14590.0,0.9212
./mixture_data/acs.jced.7b00517.xml,363.15,0.2077,0.9951,,,2930.0,0.91665
./mixture_data/acs.jced.7b00517.xml,363.15,0.3015,0.9955,,,4390.0,0.91665
./mixture_data/acs.jced.7b00517.xml,363.15,0.4673,0.9945,,,7300.0,0.91665
./mixture_data/acs.jced.7b00517.xml,363.15,0.6099,0.9914,,,10150.0,0.91665
./mixture_data/acs.jced.7b00517.xml,363.15,0.7016,0.9868,,,12170.0,0.91665
./mixture_data/acs.jced.7b00517.xml,363.15,0.8004,0.9844,,,14210.0,0.91665
./mixture_data/acs.jced.7b00517.xml,363.15,0.8595,0.9738,,,15400.0,0.91665
./mixture_data/acs.jced.7b00517.xml,373.15,0.2138,0.9937,,,3330.0,0.87765
./mixture_data/acs.jced.7b00517.xml,373.15,0.3359,0.9932,,,5460.0,0.87765
./mixture_data/acs.jced.7b00517.xml,373.15,0.3403,0.993,,,6320.0,0.87765
./mixture_data/acs.jced.7b00517.xml,373.15,0.4872,0.9917,,,8510.0,0.87765
./mixture_data/acs.jced.7b00517.xml,373.15,0.5758,0.9876,,,10520.0,0.87765
./mixture_data/acs.jced.7b00517.xml,373.15,0.6321,0.983,,,11890.0,0.87765
./mixture_data/acs.jced.7b00517.xml,373.15,0.7002,0.9783,,,13570.0,0.87765
./mixture_data/acs.jced.7b00517.xml,373.15,0.7915,0.9638,,,15290.0,0.87765
./mixture_data/j.fluid.2012.09.037.xml,373.2,0.075,,669.0,0.00035,1120.0,0.6835
./mixture_data/j.fluid.2012.09.037.xml,373.2,0.124,,671.0,0.00033,1950.0,0.6835
./mixture_data/j.fluid.2012.09.037.xml,373.2,0.192,,672.0,0.00029,3040.0,0.6835
./mixture_data/j.fluid.2012.09.037.xml,373.2,0.246,,674.0,0.00027,4010.0,0.6835
./mixture_data/j.fluid.2012.09.037.xml,373.2,0.313,,676.0,0.00025,5110.0,0.6835
./mixture_data/j.fluid.2012.09.037.xml,373.2,0.367,,677.0,0.00022,6190.0,0.6835
./mixture_data/je060111z.xml,372.94,0.2146,0.9937,,,3241.0,0.89175
./mixture_data/je060111z.xml,372.94,0.2774,0.9935,,,4401.0,0.89175
./mixture_data/je060111z.xml,372.94,0.3351,0.9932,,,5484.0,0.89175
./mixture_data/je060111z.xml,319.11,0.3395,0.9991,,,3485.0,0.97995
./mixture_data/je060111z.xml,344.74,0.3421,0.9978,,,4585.0,0.9316
./mixture_data/je060111z.xml,372.94,0.3799,0.993,,,6407.0,0.89175
./mixture_data/je060111z.xml,344.74,0.3993,0.9974,,,5517.0,0.9316
./mixture_data/je060111z.xml,319.11,0.4243,0.999,,,4549.0,0.97995
./mixture_data/je060111z.xml,372.94,0.4449,0.9927,,,7699.0,0.89175
./mixture_data/je060111z.xml,372.94,0.4862,0.9917,,,8702.0,0.89175
./mixture_data/je060111z.xml,344.74,0.4934,0.997,,,6892.0,0.9316
./mixture_data/je060111z.xml,372.94,0.5128,0.9903,,,9420.0,0.89175
./mixture_data/je060111z.xml,319.11,0.5262,0.9988,,,5678.0,0.97995
./mixture_data/je060111z.xml,372.94,0.5752,0.9876,,,10400.0,0.89175
./mixture_data/je060111z.xml,344.74,0.5815,0.996,,,8183.0,0.9316
./mixture_data/je060111z.xml,372.94,0.6318,0.983,,,11894.0,0.89175
./mixture_data/je060111z.xml,319.11,0.6338,0.998,,,6874.0,0.97995
./mixture_data/je060111z.xml,344.74,0.6474,0.9944,,,9445.0,0.9316
./mixture_data/je060111z.xml,372.94,0.6974,0.9783,,,13213.0,0.89175
./mixture_data/je060111z.xml,319.11,0.7336,0.9961,,,7880.0,0.97995
./mixture_data/je060111z.xml,344.74,0.7373,0.9883,,,11009.0,0.9316
./mixture_data/je060111z.xml,372.94,0.745,0.9711,,,14240.0,0.89175
./mixture_data/je060111z.xml,372.94,0.791,0.9638,,,15298.0,0.89175
./mixture_data/je060111z.xml,344.74,0.8383,0.9733,,,12134.0,0.9316
./mixture_data/je060111z.xml,372.94,0.8564,0.9271,,,16060.0,0.89175
./mixture_data/je060111z.xml,319.11,0.8847,0.9926,,,8509.0,0.97995
./mixture_data/je060111z.xml,344.74,0.8956,0.9676,,,12654.0,0.9316
./mixture_data/je060111z.xml,319.11,0.924,0.9889,,,8678.0,0.97995
./mixture_data/je060111z.xml,319.11,0.9731,0.9868,,,8902.0,0.97995
./mixture_data/j.jct.2012.08.019.xml,323.3,0.094,,711.0,0.00056,1020.0,0.7565
./mixture_data/j.jct.2012.08.019.xml,323.3,0.19,,716.0,0.00046,2080.0,0.7565
./mixture_data/j.jct.2012.08.019.xml,323.3,0.263,,720.0,0.00042,2970.0,0.7565
./mixture_data/j.jct.2012.08.019.xml,323.3,0.353,,724.0,0.00038,3940.0,0.7565
./mixture_data/j.jct.2012.08.019.xml,323.3,0.429,,729.0,0.00033,4910.0,0.7565
./mixture_data/j.jct.2012.08.019.xml,323.3,0.513,,735.0,0.00028,5960.0,0.7565
./mixture_data/j.fluid.2016.03.010.xml,319.0,0.148,0.9974,,,1720.0,0.63985
./mixture_data/j.fluid.2016.03.010.xml,319.0,0.281,0.9987,,,2701.0,0.63985
./mixture_data/j.fluid.2016.03.010.xml,319.2,0.337,0.9972,,,3605.0,0.7469
./mixture_data/j.fluid.2016.03.010.xml,319.1,0.461,0.9949,,,4875.0,0.9045
./mixture_data/j.fluid.2016.03.010.xml,319.2,0.499,0.9948,,,5450.0,0.7469
./mixture_data/j.fluid.2016.03.010.xml,319.1,0.817,0.992,,,8310.0,0.9045
./mixture_data/j.fluid.2016.03.010.xml,344.2,0.1407,0.9946,,,1845.0,0.81345
./mixture_data/j.fluid.2016.03.010.xml,344.2,0.2396,0.9969,,,3025.0,0.81345
./mixture_data/j.fluid.2016.03.010.xml,344.8,0.3312,0.9967,,,4410.0,0.66395
./mixture_data/j.fluid.2016.03.010.xml,345.0,0.3589,0.998,,,4850.0,0.67845
./mixture_data/j.fluid.2016.03.010.xml,344.4,0.7146,0.9896,,,10621.0,0.9048
./mixture_data/j.fluid.2016.03.010.xml,319.1,0.595,,,,6446.0,0.9045
