filename,temperature,liquid_fraction,gas_fraction,density,viscosity,pressure,mean_critical
./mixture_data/acs.jced.7b00517.xml,353.15,0.1034,0.9997,,,1170.0,0.94195
./mixture_data/acs.jced.7b00517.xml,353.15,0.2091,0.9997,,,2470.0,0.94195
./mixture_data/acs.jced.7b00517.xml,353.15,0.2764,0.9997,,,3340.0,0.94195
./mixture_data/acs.jced.7b00517.xml,353.15,0.4604,0.9996,,,5980.0,0.94195
./mixture_data/acs.jced.7b00517.xml,353.15,0.6034,0.9992,,,8350.0,0.94195
./mixture_data/acs.jced.7b00517.xml,353.15,0.7067,0.9985,,,10270.0,0.94195
./mixture_data/acs.jced.7b00517.xml,353.15,0.8139,0.9963,,,12490.0,0.94195
./mixture_data/acs.jced.7b00517.xml,353.15,0.8925,0.9914,,,14370.0,0.94195
./mixture_data/acs.jced.7b00517.xml,363.15,0.1372,0.9996,,,1690.0,0.94665
./mixture_data/acs.jced.7b00517.xml,363.15,0.2886,0.9996,,,3770.0,0.94665
./mixture_data/acs.jced.7b00517.xml,363.15,0.3608,0.9995,,,4870.0,0.94665
./mixture_data/acs.jced.7b00517.xml,363.15,0.4726,0.9993,,,6720.0,0.94665
./mixture_data/acs.jced.7b00517.xml,363.15,0.5919,0.9988,,,8930.0,0.94665
./mixture_data/acs.jced.7b00517.xml,363.15,0.6727,0.9982,,,10610.0,0.94665
./mixture_data/acs.jced.7b00517.xml,363.15,0.7728,0.9961,,,12930.0,0.94665
./mixture_data/acs.jced.7b00517.xml,363.15,0.8349,0.9854,,,14400.0,0.94665
./mixture_data/acs.jced.7b00517.xml,363.15,0.9194,0.9739,,,16540.0,0.94665
./mixture_data/acs.jced.7b00517.xml,373.15,0.2348,0.9954,,,3490.0,0.90175
./mixture_data/acs.jced.7b00517.xml,373.15,0.3197,0.9959,,,4930.0,0.90175
./mixture_data/acs.jced.7b00517.xml,373.15,0.4106,0.9962,,,6620.0,0.90175
./mixture_data/acs.jced.7b00517.xml,373.15,0.4825,0.9964,,,8060.0,0.90175
./mixture_data/acs.jced.7b00517.xml,373.15,0.5526,0.9964,,,9620.0,0.90175
./mixture_data/acs.jced.7b00517.xml,373.15,0.6158,0.9952,,,11110.0,0.90175
./mixture_data/acs.jced.7b00517.xml,373.15,0.6738,0.9931,,,12590.0,0.90175
./mixture_data/acs.jced.7b00517.xml,373.15,0.7205,0.9905,,,13830.0,0.90175
./mixture_data/acs.jced.7b00517.xml,373.15,0.7615,0.9846,,,15020.0,0.90175
./mixture_data/acs.jced.7b00517.xml,373.15,0.7865,0.9772,,,15790.0,0.90175
./mixture_data/acs.jced.7b00517.xml,373.15,0.8451,0.9584,,,17540.0,0.90175
./mixture_data/je200586g.xml,417.91,0.1039,0.99,,,1640.0,0.8873
./mixture_data/je200586g.xml,417.91,0.1867,0.9434,,,3120.0,0.8873
./mixture_data/je200586g.xml,318.14,0.1962,0.9973,,,1780.0,0.9475
./mixture_data/je200586g.xml,373.23,0.2349,0.9958,,,3300.0,0.9017
./mixture_data/je200586g.xml,417.91,0.2567,0.9864,,,4550.0,0.8873
./mixture_data/je200586g.xml,344.75,0.2647,0.995,,,3160.0,0.8515999999999999
./mixture_data/je200586g.xml,318.14,0.2681,0.9981,,,2530.0,0.9475
./mixture_data/je200586g.xml,373.23,0.3204,0.9964,,,4800.0,0.9017
./mixture_data/je200586g.xml,417.91,0.3261,0.988,,,6040.0,0.8873
./mixture_data/je200586g.xml,318.14,0.3535,0.9991,,,3450.0,0.9475
./mixture_data/je200586g.xml,344.75,0.3755,0.9975,,,4770.0,0.8515999999999999
./mixture_data/je200586g.xml,417.91,0.3851,0.9599,,,7460.0,0.8873
./mixture_data/je200586g.xml,373.23,0.4116,0.9934,,,6540.0,0.9017
./mixture_data/je200586g.xml,417.91,0.4474,0.9901,,,9080.0,0.8873
./mixture_data/je200586g.xml,344.75,0.4723,0.9987,,,6350.0,0.8515999999999999
./mixture_data/je200586g.xml,373.23,0.482,0.9904,,,8040.0,0.9017
./mixture_data/je200586g.xml,318.14,0.4889,0.9995,,,5030.0,0.9475
./mixture_data/je200586g.xml,417.91,0.4998,0.986,,,10510.0,0.8873
./mixture_data/je200586g.xml,344.75,0.5381,0.9988,,,7420.0,0.8515999999999999
./mixture_data/je200586g.xml,417.91,0.5507,0.9791,,,11990.0,0.8873
./mixture_data/je200586g.xml,373.23,0.5533,0.9965,,,9730.0,0.9017
./mixture_data/je200586g.xml,344.75,0.5891,0.9986,,,8210.0,0.8515999999999999
./mixture_data/je200586g.xml,417.91,0.5988,0.9896,,,13510.0,0.8873
./mixture_data/je200586g.xml,318.14,0.6123,0.9988,,,6490.0,0.9475
./mixture_data/je200586g.xml,373.23,0.6156,0.9961,,,11110.0,0.9017
./mixture_data/je200586g.xml,344.75,0.6324,0.9983,,,9080.0,0.8515999999999999
./mixture_data/je200586g.xml,417.91,0.6407,0.9689,,,14980.0,0.8873
./mixture_data/je200586g.xml,373.23,0.674,0.995,,,12760.0,0.9017
